<<<<<<< HEAD
,toolx,tooly,toolz,tool_qx,tool_qy,tool_qz,tool_qw,refx,refy,refz,ref_qx,ref_qy,ref_qz,ref_qw,fid1x,fid1y,fid1z,fid2x,fid2y,fid2z,fid3x,fid3y,fid3z,fid4x,fid4y,fid4z
31,-73.96334075927734,126.1767807006836,1235.57421875,0.02396417965485965,-0.178426321128146,0.6877149859847016,-0.7033049580901638,-13.278114318847656,126.24195098876953,1116.7724609375,-0.4403912817721763,0.8813657669867607,0.06775428177860947,-0.15703267501881066,-27.838172912597656,-146.27053833007812,1139.0726318359375,-67.02017974853516,-111.51316833496094,1140.5228271484375,-106.3310775756836,-69.08647918701172,1144.2447509765625,-67.80530548095703,-0.5048890113830566,1173.3380126953125
32,-73.96691131591797,126.1755599975586,1235.5777587890625,0.02394808375760908,-0.17844999807982198,0.6877148736759955,-0.7032996089821603,-13.281030654907227,126.24012756347656,1116.7847900390625,-0.4404219994379677,0.8813167589421339,0.06794423848683376,-0.15713947077433946,-27.839202880859375,-146.2735137939453,1139.076904296875,-67.01254272460938,-111.51188659667969,1140.521240234375,-106.33179473876953,-69.089111328125,1144.24560546875,-67.80545043945312,-0.5018875002861023,1173.34130859375
33,-73.96866607666016,126.18400573730469,1235.550048828125,0.02387377185885612,-0.17845441621532274,0.6877132083636295,-0.7033026428165068,-13.279746055603027,126.2376480102539,1116.784912109375,-0.44038966574259003,0.8813368040509589,0.0678738736558634,-0.1571480747808234,-27.840696334838867,-146.2708282470703,1139.09130859375,-67.0119400024414,-111.51107025146484,1140.500732421875,-106.332275390625,-69.09051513671875,1144.2415771484375,-67.80170440673828,-0.504902184009552,1173.3251953125
34,-73.96585083007812,126.17610931396484,1235.57421875,0.023891591540259417,-0.1784933139382251,0.6876967753471289,-0.7033082353493267,-13.28235912322998,126.23701477050781,1116.782470703125,-0.4403874048059164,0.8813303587862293,0.06788909070178184,-0.15718398052515292,-27.843706130981445,-146.2737579345703,1139.09033203125,-67.01107788085938,-111.51347351074219,1140.5096435546875,-106.33233642578125,-69.09239959716797,1144.2449951171875,-67.80067443847656,-0.5009484887123108,1173.341064453125
35,-73.95477294921875,126.19425964355469,1235.52783203125,0.023894152885584042,-0.1783355631887506,0.6877286390204649,-0.703317009200752,-13.280272483825684,126.23951721191406,1116.7774658203125,-0.4403975347996889,0.8813490684254937,0.06790914148774344,-0.15704196709882678,-27.845531463623047,-146.27304077148438,1139.0906982421875,-67.01010131835938,-111.51579284667969,1140.5240478515625,-106.33317565917969,-69.09584045410156,1144.245849609375,-67.7987289428711,-0.49989083409309387,1173.321044921875
36,-73.9663314819336,126.17601013183594,1235.5692138671875,0.023858701972315675,-0.17853573430701558,0.6876819092298558,-0.7033131206181434,-13.282083511352539,126.23995971679688,1116.782958984375,-0.4403978737172551,0.8813285232106028,0.06793524969303835,-0.1571449930792678,-27.845069885253906,-146.27386474609375,1139.08642578125,-67.01266479492188,-111.51276397705078,1140.4993896484375,-106.33056640625,-69.0886001586914,1144.2347412109375,-67.80049896240234,-0.5009530186653137,1173.334228515625
37,-73.97205352783203,126.17952728271484,1235.5631103515625,0.023813828102818416,-0.17854672247949066,0.6876844687320751,-0.7033093493958434,-13.281021118164062,126.23612976074219,1116.784912109375,-0.44037576694427677,0.8813278641057252,0.06781850636803967,-0.15726102515591286,-27.845294952392578,-146.2754669189453,1139.0877685546875,-67.01504516601562,-111.5164794921875,1140.5223388671875,-106.32616424560547,-69.08797454833984,1144.2276611328125,-67.80451202392578,-0.499216765165329,1173.3353271484375
38,-73.96866607666016,126.18582153320312,1235.5416259765625,0.023796429243739967,-0.17851052976157578,0.6876898509512788,-0.7033138628081329,-13.282364845275879,126.23777770996094,1116.784423828125,-0.44038089549956705,0.8813396520745782,0.06781338382141212,-0.15718279019902529,-27.84526252746582,-146.27587890625,1139.091796875,-67.01545715332031,-111.51538848876953,1140.5081787109375,-106.32495880126953,-69.08602905273438,1144.2286376953125,-67.80416107177734,-0.5030946135520935,1173.321044921875
39,-73.96498107910156,126.1880874633789,1235.5399169921875,0.02379163326072481,-0.17850163637255143,0.6876856864958584,-0.7033203541685885,-13.28348445892334,126.23848724365234,1116.7874755859375,-0.44039546531527374,0.8813199580664721,0.06804445735604264,-0.15715252930378504,-27.84686851501465,-146.27540588378906,1139.09228515625,-67.01756286621094,-111.5144271850586,1140.5152587890625,-106.326171875,-69.08969116210938,1144.2265625,-67.80078887939453,-0.4983844459056854,1173.3233642578125
40,-73.95958709716797,126.19265747070312,1235.53369140625,0.023792974476838875,-0.1784660215982539,0.6876838642148937,-0.703331128558169,-13.284479141235352,126.23825073242188,1116.788330078125,-0.44037831919456677,0.881338152458959,0.06782757067733222,-0.15719229516617106,-27.84999656677246,-146.27455139160156,1139.0986328125,-67.02311706542969,-111.51406860351562,1140.51611328125,-106.32756805419922,-69.0871353149414,1144.2337646484375,-67.80104064941406,-0.5004752278327942,1173.3214111328125
